Actor,DOB,Age,Height,Status,children,"Top_4_Movies",Avg_Ratings,YouGov_Popularity_Percentage,YouGov_Dislike_Percentage,YouGov_Neutral_Percentage,YouGov_Fame_Percentage,Ranker_com_Best_Male_Actors_Ranking,Image_1,Image_2
Idris Elba,6-Sep-72,52,"6'2.5""",Married,2,"Beasts of No Nation, 2015, 7.7
The Losers, 2010, 6.2
Mandela: Long Walk to Freedom, 2013, 7.1
Thor: Ragnarak, 2017, 7.9",7.225,59,5,15,79,48,http://www.gettyimages.com/detail/1473067297,//embed.gettyimages.com/embed/1439381257?et=JkcAg2bdRvVbFVuLOs1O-A&tld=com&sig=tsmg8mfLOL2ZAt2QlOJDGsHzd952jOdzz14PRXGffFA=&caption=true&ver=1
George Clooney,6-May-61,63,"5'11""",Married,2,"Michael Clayton, 2007, 7.2
Up in the Air, 2009, 7.4
The Ides of March, 2011, 7.1
The Monuments Men, 2014, 6.1",6.95,65,13,17,96,94,http://www.gettyimages.com/detail/1707036581,//embed.gettyimages.com/embed/1707036581?et=H_5GwH2fQWFeZyGosCdRPw&tld=com&sig=_WBnuuYp9MU_B9G2gJoQVZH34pQku3q1U9SJbo2maNo=&caption=true&ver=1
Chris Hemsworth,11-Aug-83,41,"6'3""",Married,3,"Snow White and the Huntsman, 2012, 6.1
Thor: Ragnarok, 2017, 7.9
The Avengers, 2012, 8.0
Thor: Love and Thunder, 2022, 6.2",7.05,63,3,18,84,42,http://www.gettyimages.com/detail/2074299392,//embed.gettyimages.com/embed/1498179066?et=haKLxc6OTA9zxOlRL3-ZkA&tld=com&sig=cA7aMPCARGMNGJUiCF27nkmSYdVUXFYueKZo9pRaPNo=&caption=true&ver=1
Jason Momoa,1-Aug-79,45,"6'4""",In a relationship,2,"Aquaman, 2018, 6.8
Aquaman and the Lost Kingdom, 2023, 5.6
The Bad Batch, 2016, 5.2
Fast X, 2023, 5.7",5.825,59,6,19,83,150,http://www.gettyimages.com/detail/1204740406,//embed.gettyimages.com/embed/1204740406?et=ZTSlrcrQTilwTRzwOJ_I0A&tld=com&sig=gc4wkGInvfIbO6C-e8zY1EvTeeSwjVQVke0Z9bz0Jp4=&caption=true&ver=1
Dwayne “The Rock” Johnson,2-May-72,52,"6'4""",Married,3,"Black Adam, 2022, 6.2
Jumanji: Welcome to the Jungle, 2017, 7.0
Journey 2: The Mysterious Island, 2012, 5.7
Baywatch, 2017, 5.5",6.1,67,10,20,96,88,http://www.gettyimages.com/detail/1473068777,//embed.gettyimages.com/embed/1473068777?et=4FgVP3bNRJ1S8zOvb5awRw&tld=com&sig=cCPp2ZBtwTTForSeYgKF_PL3Fhx2AVxwULW3asBq5M8=&caption=true&ver=1
Hugh Jackman,12-Oct-68,56,"6'2""",Single,2,"Les Miserables, 2012, 7.5
Logan, 2017, 8.1
X-Men, 2000, 7.3
X-Men, Origins: Wolverine, 2009, 6.5",7.35,70,5,20,95,7,http://www.gettyimages.com/detail/2163112945,//embed.gettyimages.com/embed/2163112945?et=uy9S4pOpT_1KezApt5qarg&tld=com&sig=os5_fazBM7bH4esSEFiNds4TKfHoRH--S9w3fOB0VHY=&caption=true&ver=1
Keanu Reeves,2-Sep-64,60,"6'1""",In a relationship,0,"The Matrix, 1999, 8.7
Speed, 1994, 7.3
Point Break, 1991, 7.3
John Wick: Chapter 4, 2023, 7.6",7.725,80,2,14,97,19,http://www.gettyimages.com/detail/1475001901,//embed.gettyimages.com/embed/1475001901?et=AA7z32GKRIli5Jg_PDiDCQ&tld=com&sig=ZKYxGCmPZeqscxqmn6_j8a0If6J_yDYWXxCMJ6lanfY=&caption=true&ver=1
Ryan Gosling,12-Nov-80,44,"6'0.5""",Married,2,"Blue Valentine, 2010, 7.3
La La Land, 2016, 8.0
Drive, 2011, 7.8
The Notebook, 2004, 7.8",7.725,68,5,20,93,20,http://www.gettyimages.com/detail/2074248570,//embed.gettyimages.com/embed/2074248570?et=Nxc-6Jw4RQJsspUZHN2PbA&tld=com&sig=ExGdbJBM_zB3d6F64cuvEPRkd4dLDeGaCQd4W0v632Y=&caption=true&ver=1
Jensen Ackles,1-Mar-78,46,"6'1""",Married,3,"Supernatural, 2005-2020, 8.4
My Bloody Valentine, 2009, 5.4
Ten Inch Hero, 2007, 7.3
Days of Our Lives, 1997-2000, 5.3",6.6,33,6,13,52,154,http://www.gettyimages.com/detail/1398123953,//embed.gettyimages.com/embed/1398123953?et=__LubZPRSg10bHUpUnnBcA&tld=com&sig=mRWgEuBuuiAEILN9eCQOEFRMKA_9YEUzdCHQO5QiRz0=&caption=true&ver=1
Cillian Murphy,25-May-76,48,"5'9""",Married,2,"28 Days Later, 2002, 7.5
Inception, 2010, 8.8
Sunshine, 2007, 7.2
The Dark Knight, 2008, 9.0",8.125,42,3,16,62,29,http://www.gettyimages.com/detail/1915838892,//embed.gettyimages.com/embed/1915838892?et=TC7hYT6rTytEx65DGb4irg&tld=com&sig=OsmQ5O3WrpIZg6l6F-VoHoJXh-tGSHQpUftXh_6clPw=&caption=true&ver=1
